"Datum und Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 1: Verein";"Mannschaft 2";"Mannschaft 2: Verein";"Schiedsgericht";"Schiedsgericht: Verein";"Gastgeber";"Gastgeber: Verein";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Ballpunkte";"Spieldauer";"Zuschauerzahl";"Satzpunkte 1";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"14.11.2026, 20:00:00";"Samstag";"4026";"Spieltag 5";"FC 47 Leschede";"FC 47 Leschede e.V.";"Team 48 Hildesheim";"MTV 1848 Hildesheim";"-";"";"FC 47 Leschede";"FC 47 Leschede e.V.";"Sporthalle Emsbüren (48488 Emsbüren)";"Sporthalle Emsbüren (48488 Emsbüren)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"15.11.2026, 14:30:00";"Sonntag";"4168";"Spieltag 24";"Schweriner SC II";"Schweriner SC e.V.";"Team 48 Hildesheim";"MTV 1848 Hildesheim";"-";"";"Schweriner SC II";"Schweriner SC e.V.";"Volleyballhalle Am Lambrechtsgrund (19059 Schwerin)";"Volleyballhalle Am Lambrechtsgrund (19059 Schwerin)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"15.11.2026, 15:00:00";"Sonntag";"4063";"Spieltag 11";"SSF Bonn";"Schwimm- und Sportfreunde Bonn 1905 e.V.";"BBSC Berlin";"BBSC e.V.";"-";"";"SSF Bonn";"Schwimm- und Sportfreunde Bonn 1905 e.V.";"Hardtberghalle (53125 Bonn)";"Hardtberghalle (53125 Bonn)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"15.11.2026, 16:00:00";"Sonntag";"4029";"Spieltag 5";"Grün-Weiß Eimsbüttel";"Grün-Weiß Eimsbüttel von 1901 e.V.";"RC Sorpesee";"RC Sorpesee 1956 e.V.";"-";"";"Grün-Weiß Eimsbüttel";"Grün-Weiß Eimsbüttel von 1901 e.V.";"Sporthalle Wandsbek (22041 Hamburg)";"Sporthalle Wandsbek (22041 Hamburg)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"15.11.2026, 16:00:00";"Sonntag";"4148";"Spieltag 23";"FC 47 Leschede";"FC 47 Leschede e.V.";"VCO Münster";"VCO Münster e.V.";"-";"";"FC 47 Leschede";"FC 47 Leschede e.V.";"Sporthalle Emsbüren (48488 Emsbüren)";"Sporthalle Emsbüren (48488 Emsbüren)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"21.11.2026, 15:00:00";"Samstag";"4031";"Spieltag 6";"USC Münster II";"USC Münster e.V.";"Grün-Weiß Eimsbüttel";"Grün-Weiß Eimsbüttel von 1901 e.V.";"-";"";"USC Münster II";"USC Münster e.V.";"Sporthalle Berg Fidel (48153 Münster)";"Sporthalle Berg Fidel (48153 Münster)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"21.11.2026, 15:30:00";"Samstag";"4169";"Spieltag 24";"Schweriner SC II";"Schweriner SC e.V.";"VC Osnabrück";"Volleyballclub Osnabrück e.V.";"-";"";"Schweriner SC II";"Schweriner SC e.V.";"Volleyballhalle Am Lambrechtsgrund (19059 Schwerin)";"Volleyballhalle Am Lambrechtsgrund (19059 Schwerin)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"21.11.2026, 16:00:00";"Samstag";"4136";"Spieltag 23";"VCO Münster";"VCO Münster e.V.";"RC Sorpesee";"RC Sorpesee 1956 e.V.";"-";"";"VCO Münster";"VCO Münster e.V.";"Ballsporthalle Pascal-Gymnasium (48147 Münster)";"Ballsporthalle Pascal-Gymnasium (48147 Münster)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"21.11.2026, 18:00:00";"Samstag";"4034";"Spieltag 6";"BBSC Berlin";"BBSC e.V.";"BSV Ostbevern";"BSV Ostbevern 1923 e.V.";"-";"";"BBSC Berlin";"BBSC e.V.";"Sporthalle Hämmerlingstraße (12555 Berlin)";"Sporthalle Hämmerlingstraße (12555 Berlin)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
"21.11.2026, 19:00:00";"Samstag";"4033";"Spieltag 6";"SSF Bonn";"Schwimm- und Sportfreunde Bonn 1905 e.V.";"TV Hörde";"TV Hörde";"-";"";"SSF Bonn";"Schwimm- und Sportfreunde Bonn 1905 e.V.";"Hardtberghalle (53125 Bonn)";"Hardtberghalle (53125 Bonn)";"-";"2026/27";"2. Bundesliga Frauen Nord";"weiblich";
